Year,LinearTrend
1900,-0.356416667
1901,-0.3525
1902,-0.34875
1903,-0.344916667
1904,-0.341166667
1905,-0.337333333
1906,-0.3335
1907,-0.329666667
1908,-0.325833333
1909,-0.322166667
1910,-0.31825
1911,-0.3145
1912,-0.310666667
1913,-0.306833333
1914,-0.303083333
1915,-0.299166667
1916,-0.2955
1917,-0.291583333
1918,-0.287833333
1919,-0.284
1920,-0.280166667
1921,-0.276416667
1922,-0.2725
1923,-0.268833333
1924,-0.264916667
1925,-0.261166667
1926,-0.257333333
1927,-0.2535
1928,-0.24975
1929,-0.245833333
1930,-0.242166667
1931,-0.23825
1932,-0.2345
1933,-0.230666667
1934,-0.226833333
1935,-0.223083333
1936,-0.219166667
1937,-0.2155
1938,-0.211583333
1939,-0.207833333
1940,-0.204
1941,-0.200166667
1942,-0.1965
1943,-0.1925
1944,-0.188833333
1945,-0.184916667
1946,-0.181166667
1947,-0.177416667
1948,-0.1735
1949,-0.16975
1950,-0.165833333
1951,-0.162166667
1952,-0.158333333
1953,-0.1545
1954,-0.150666667
1955,-0.146833333
1956,-0.143083333
1957,-0.13925
1958,-0.1355
1959,-0.131583333
1960,-0.127833333
1961,-0.124
1962,-0.120166667
1963,-0.1165
1964,-0.1125
1965,-0.108833333
1966,-0.105
1967,-0.101166667
1968,-0.097416667
1969,-0.0935
1970,-0.08975
1971,-0.085916667
1972,-0.082166667
1973,-0.078333333
1974,-0.0745
1975,-0.070666667
1976,-0.066833333
1977,-0.063166667
1978,-0.05925
1979,-0.0555
1980,-0.051583333
1981,-0.047833333
1982,-0.044083333
1983,-0.040166667
1984,-0.0365
1985,-0.0325
1986,-0.028833333
1987,-0.025
1988,-0.021166667
1989,-0.017416667
1990,-0.0135
1991,-0.00975
1992,-0.005916667
1993,-0.002166667
1994,0.001666667
1995,0.0055
1996,0.00925
1997,0.013166667
1998,0.016833333
1999,0.02075
2000,0.0245
2001,0.028333333
2002,0.032166667
2003,0.035916667
2004,0.039833333
2005,0.0435
2006,0.047416667
2007,0.051166667
2008,0.055
2009,0.058833333
2010,0.062583333
2011,0.0665
2012,0.070166667
2013,0.074083333
2014,0.077833333
2015,0.081666667
2016,0.0855
2017,0.08925
2018,0.093166667
2019,0.096833333
2020,0.100636364
